1vac # comment line
1 # universal scaling factor
1.60927451e+01 0.00000000e+00 0.00000000e+00 # first Bravais lattice vector
0.00000000e+00 1.60927451e+01 0.00000000e+00 # second Bravais lattice vector
0.00000000e+00 0.00000000e+00 1.60927451e+01 # third Bravais lattice vector
215
C # direct or cartesian, only first letter is significant
-5.36424837e+00 -5.36424837e+00 -5.36424837e+00 'Si'
-5.36424837e+00 -5.36424837e+00 0.00000000e+00 'Si'
-5.36424837e+00 -5.36424837e+00 5.36424837e+00 'Si'
-5.36424837e+00 0.00000000e+00 -5.36424837e+00 'Si'
-5.36424837e+00 0.00000000e+00 0.00000000e+00 'Si'
-5.36424837e+00 0.00000000e+00 5.36424837e+00 'Si'
-5.36424837e+00 5.36424837e+00 -5.36424837e+00 'Si'
-5.36424837e+00 5.36424837e+00 0.00000000e+00 'Si'
-5.36424837e+00 5.36424837e+00 5.36424837e+00 'Si'
0.00000000e+00 -5.36424837e+00 -5.36424837e+00 'Si'
0.00000000e+00 -5.36424837e+00 0.00000000e+00 'Si'
0.00000000e+00 -5.36424837e+00 5.36424837e+00 'Si'
0.00000000e+00 0.00000000e+00 -5.36424837e+00 'Si'
0.00000000e+00 0.00000000e+00 5.36424837e+00 'Si'
0.00000000e+00 5.36424837e+00 -5.36424837e+00 'Si'
0.00000000e+00 5.36424837e+00 0.00000000e+00 'Si'
0.00000000e+00 5.36424837e+00 5.36424837e+00 'Si'
5.36424837e+00 -5.36424837e+00 -5.36424837e+00 'Si'
5.36424837e+00 -5.36424837e+00 0.00000000e+00 'Si'
5.36424837e+00 -5.36424837e+00 5.36424837e+00 'Si'
5.36424837e+00 0.00000000e+00 -5.36424837e+00 'Si'
5.36424837e+00 0.00000000e+00 0.00000000e+00 'Si'
5.36424837e+00 0.00000000e+00 5.36424837e+00 'Si'
5.36424837e+00 5.36424837e+00 -5.36424837e+00 'Si'
5.36424837e+00 5.36424837e+00 0.00000000e+00 'Si'
5.36424837e+00 5.36424837e+00 5.36424837e+00 'Si'
-2.68212419e+00 -2.68212419e+00 -5.36424837e+00 'Si'
-2.68212419e+00 -2.68212419e+00 0.00000000e+00 'Si'
-2.68212419e+00 -2.68212419e+00 5.36424837e+00 'Si'
-2.68212419e+00 2.68212419e+00 -5.36424837e+00 'Si'
-2.68212419e+00 2.68212419e+00 0.00000000e+00 'Si'
-2.68212419e+00 2.68212419e+00 5.36424837e+00 'Si'
-2.68212419e+00 8.04637256e+00 -5.36424837e+00 'Si'
-2.68212419e+00 8.04637256e+00 0.00000000e+00 'Si'
-2.68212419e+00 8.04637256e+00 5.36424837e+00 'Si'
2.68212419e+00 -2.68212419e+00 -5.36424837e+00 'Si'
2.68212419e+00 -2.68212419e+00 0.00000000e+00 'Si'
2.68212419e+00 -2.68212419e+00 5.36424837e+00 'Si'
2.68212419e+00 2.68212419e+00 -5.36424837e+00 'Si'
2.68212419e+00 2.68212419e+00 0.00000000e+00 'Si'
2.68212419e+00 2.68212419e+00 5.36424837e+00 'Si'
2.68212419e+00 8.04637256e+00 -5.36424837e+00 'Si'
2.68212419e+00 8.04637256e+00 0.00000000e+00 'Si'
2.68212419e+00 8.04637256e+00 5.36424837e+00 'Si'
8.04637256e+00 -2.68212419e+00 -5.36424837e+00 'Si'
8.04637256e+00 -2.68212419e+00 0.00000000e+00 'Si'
8.04637256e+00 -2.68212419e+00 5.36424837e+00 'Si'
8.04637256e+00 2.68212419e+00 -5.36424837e+00 'Si'
8.04637256e+00 2.68212419e+00 0.00000000e+00 'Si'
8.04637256e+00 2.68212419e+00 5.36424837e+00 'Si'
8.04637256e+00 8.04637256e+00 -5.36424837e+00 'Si'
8.04637256e+00 8.04637256e+00 0.00000000e+00 'Si'
8.04637256e+00 8.04637256e+00 5.36424837e+00 'Si'
-2.68212419e+00 -5.36424837e+00 -2.68212419e+00 'Si'
-2.68212419e+00 -5.36424837e+00 2.68212419e+00 'Si'
-2.68212419e+00 -5.36424837e+00 8.04637256e+00 'Si'
-2.68212419e+00 0.00000000e+00 -2.68212419e+00 'Si'
-2.68212419e+00 0.00000000e+00 2.68212419e+00 'Si'
-2.68212419e+00 0.00000000e+00 8.04637256e+00 'Si'
-2.68212419e+00 5.36424837e+00 -2.68212419e+00 'Si'
-2.68212419e+00 5.36424837e+00 2.68212419e+00 'Si'
-2.68212419e+00 5.36424837e+00 8.04637256e+00 'Si'
